@relation dataset-weka.filters.unsupervised.attribute.AddValues-C9-L2-weka.filters.unsupervised.attribute.AddValues-C9-L3

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute Tilt {0,1,2,3}
@attribute Swing {0,1,2,3}

@data
1212,'2018/02/14 20:34:01:467',2,-64,-64,1024,0,1,1
1213,'2018/02/14 20:34:01:467',2,-64,-64,1024,0,1,1
1214,'2018/02/14 20:34:01:476',2,-64,-64,1024,0,1,1
1215,'2018/02/14 20:34:01:488',2,-64,-80,1024,0,1,1
1216,'2018/02/14 20:34:01:488',2,-64,-80,1024,0,1,1
1217,'2018/02/14 20:34:01:498',2,-64,-80,1024,0,1,1
1218,'2018/02/14 20:34:01:498',2,-32,-64,1008,-16,1,1
1219,'2018/02/14 20:34:01:506',2,-32,-64,1008,16,1,1
1220,'2018/02/14 20:34:01:517',2,-32,-64,1008,0,1,1
1221,'2018/02/14 20:34:01:517',2,-32,-64,1008,0,1,1
1222,'2018/02/14 20:34:01:527',2,-32,-64,1008,0,1,1
1223,'2018/02/14 20:34:01:527',2,-32,-64,1008,0,1,1
1224,'2018/02/14 20:34:01:538',2,-32,-64,1008,0,1,1
1225,'2018/02/14 20:34:01:538',2,-48,-64,1008,0,1,1
1226,'2018/02/14 20:34:01:546',2,-48,-64,1008,0,1,1
1227,'2018/02/14 20:34:01:556',2,-48,-64,1008,0,1,1
1228,'2018/02/14 20:34:01:557',2,-48,-48,1024,16,1,1
1229,'2018/02/14 20:34:01:568',2,-48,-48,1024,-16,1,1
1230,'2018/02/14 20:34:01:578',2,-48,-48,1024,0,1,1
1231,'2018/02/14 20:34:01:578',2,-32,-48,1024,0,1,1
1232,'2018/02/14 20:34:01:587',2,-32,-48,1024,0,1,1
1233,'2018/02/14 20:34:01:587',2,-32,-48,1024,0,1,1
1234,'2018/02/14 20:34:01:597',2,-16,-64,1024,0,1,1
1235,'2018/02/14 20:34:01:606',2,-16,-64,1024,0,1,1
1236,'2018/02/14 20:34:01:606',2,-16,-64,1024,0,1,1
1237,'2018/02/14 20:34:01:619',2,-16,-64,1024,0,1,1
1238,'2018/02/14 20:34:01:619',2,-32,-32,1024,0,1,1
1239,'2018/02/14 20:34:01:627',2,-32,-32,1024,0,1,1
1240,'2018/02/14 20:34:01:636',2,-32,-32,1024,0,1,1
1241,'2018/02/14 20:34:01:636',2,-48,-16,1088,64,1,1
1242,'2018/02/14 20:34:01:646',2,-48,-16,1088,-64,1,1
1243,'2018/02/14 20:34:01:647',2,-48,-16,1088,0,1,1
1244,'2018/02/14 20:34:01:657',2,-32,-48,1056,-32,1,1
1245,'2018/02/14 20:34:01:667',2,-32,-48,1056,32,1,1
1246,'2018/02/14 20:34:01:668',2,-32,-48,1056,0,1,1
